Year,Month,Fleet,Sex,Ageing_error,Lbin_low,Lbin_hi,Nsamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
2012,7,1,2,1,-1,-1,25,0,0,0,0,0,0,3,5,0,0,1,0,3,2,1,1,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,1,2,1,-1,-1,42,0,0,0,0,0,0,0,3,9,2,2,1,1,1,3,4,0,2,1,3,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,1,2,1,-1,-1,34,0,0,0,0,0,1,0,2,1,11,0,0,2,0,1,0,1,0,2,1,3,2,1,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,1,2,1,-1,-1,19,0,0,0,0,0,0,0,0,1,2,2,2,0,0,2,0,1,2,1,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,1,2,1,-1,-1,31,0,0,0,0,0,0,0,3,5,2,3,3,2,0,0,1,0,1,1,0,2,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,1,2,1,-1,-1,47,0,0,0,0,0,2,0,4,2,3,3,4,7,3,0,1,0,0,1,1,2,3,1,1,2,3,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,1,2,1,-1,-1,30,0,0,0,0,0,1,0,1,5,3,1,2,3,0,0,0,1,0,1,2,2,0,0,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,1,2,1,-1,-1,79,0,0,0,0,1,3,6,7,2,4,4,1,6,7,3,0,0,1,0,1,4,1,4,1,2,8,4,0,1,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020,7,1,2,1,-1,-1,23,0,0,0,0,0,4,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2,2,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,2,1,1,-1,-1,33,0,0,0,0,0,1,1,9,1,2,1,4,8,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,2,1,1,-1,-1,45,0,0,0,0,0,0,1,7,7,2,4,5,4,5,3,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,2,1,1,-1,-1,60,0,0,0,0,0,1,2,3,10,5,3,6,5,9,10,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,2,1,1,-1,-1,90,0,0,0,0,0,0,3,4,4,5,19,4,4,6,11,10,3,2,1,3,1,2,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2009,7,2,1,1,-1,-1,50,0,0,0,0,0,0,1,1,1,2,3,11,2,1,1,8,12,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,2,1,1,-1,-1,46,0,0,0,0,0,5,0,0,1,1,3,6,7,1,2,1,6,5,4,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,2,1,1,-1,-1,59,0,0,0,0,1,1,3,1,2,1,1,1,5,8,4,2,0,5,10,4,3,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,2,1,1,-1,-1,46,0,0,0,0,0,0,2,5,0,0,2,2,1,5,5,4,2,4,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,2,1,1,-1,-1,47,0,0,0,0,0,1,2,5,4,1,0,1,0,0,3,1,4,2,1,10,3,1,2,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,2,1,1,-1,-1,23,0,0,0,0,0,0,0,0,4,6,1,0,0,0,1,1,1,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,2,1,1,-1,-1,11,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
