Year,Month,Fleet,Sex,Nsamps,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80
2003,7,1,2,30,0,0,0,0,0,0,0,15.7447,47.4635,47.0536,110.0538,110.065,31.0959,124.7933,31.0959,31.5057,0,0,15.5479,15.5479,0,0,0,0,0,0,0,0,0,0
2004,7,1,2,34,0,0,0,0,12.1876,0,0,12.1876,76.673,63.7959,79.9172,78.2842,110.4614,61.534,12.8291,12.4646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,1,2,22,0,0,0,0,0,0,0,0,31.9155,40.1649,81.1843,40.1649,53.6884,26.7766,69.6462,26.7766,13.3883,0,13.3883,13.3883,0,0,0,0,0,0,0,0,0,0
2006,7,1,2,17,0,0,0,0,0,0,0,0,0,0,63.0114,62.2679,47.3304,15.9578,78.666,31.2584,15.5479,0,15.8359,15.5479,0,0,0,0,0,0,0,0,0,0
2007,7,1,2,26,0,0,0,0,0,0,0,0,15.109,0,45.848,76.3938,62.1368,60.436,92.0044,76.9938,31.0132,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,1,2,16,0,0,0,0,0,0,0,31.7692,0,15.9578,31.5057,31.5057,93.6974,15.6598,62.1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,1,2,42,0,0,0,0,0,0,0,15.9578,31.0959,31.5057,93.6974,109.6552,202.9469,202.1231,202.2053,62.1917,46.6438,31.0959,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,1,2,32,0,0,0,0,0,8.8719,0,0,7.9255,15.8759,0,15.851,40.752,57.2229,110.9821,39.7619,33.2872,9.5106,7.9255,16.7974,0,0,0,0,0,0,0,0,0,0
2011,7,1,2,73,0,0,0,0,0,6.3772,6.3772,20.1658,44.804,32.3416,44.7962,25.8445,39.5616,108.5888,77.9419,115.4178,58.977,57.5104,6.3772,0,6.3772,0,0,0,0,0,0,0,0,0
2012,7,1,2,37,0,0,0,10.6767,0,0,0,10.6767,42.7516,53.8107,32.0852,0,21.3535,86.7328,129.5999,75.5994,53.7035,21.4085,21.5229,0,10.7595,0,0,0,0,0,0,0,0,0
2013,7,1,2,54,0,0,0,0,0,0,0,0,7.6618,23.2496,85.329,38.309,61.4507,76.8408,122.8353,107.4996,77.0908,38.583,15.3236,7.6618,0,0,0,0,0,0,0,0,0,0
2014,7,1,2,44,0,0,0,0,0,0,6.4799,0,19.7355,6.7033,27.0898,67.307,53.0264,60.2203,27.7355,58.5006,53.1922,53.1895,6.5009,0,0,0,0,0,0,0,0,0,0,0
2015,7,1,2,34,0,0,0,0,0,0,0,0,0,0,40.1481,39.9152,49.2267,16.801,63.7338,71.7496,23.8751,0,0,15.9167,0,0,0,0,0,0,0,0,0,0
2016,7,1,2,37,0,0,0,0,0,0,0,0,6.1895,0,49.633,30.9943,43.5499,77.6714,69.6891,50.1354,43.6105,13.6637,12.379,0,0,0,0,0,0,0,0,0,0,0
2017,7,1,2,56,0,0,0,0,0,0,12.7518,12.6626,12.6626,20.3252,50.7329,52.7123,50.7503,57.1642,163.1699,82.56,52.5025,32.9333,6.3313,0,0,0,0,0,0,0,0,0,0,0
2018,7,1,2,39,0,0,0,0,0,0,0,9.6503,19.3006,19.5844,50.251,52.331,58.5721,39.0736,107.7764,69.0578,58.3564,39.0961,39.7366,19.773,0,0,0,0,0,0,0,0,0,0
2019,7,1,2,110,0,0,0,0,14.4083,0,5.2123,14.1528,24.3936,19.0351,67.8029,80.5782,83.1385,71.4129,116.696,123.3377,120.5162,72.5521,14.1127,9.3822,0,0,5.6293,0,0,0,0,0,0,0
2020,7,1,2,34,0,0,0,0,0,24.7824,25.5623,11.7734,25.5623,37.5913,36.876,24.9905,103.6305,64.8655,69.2847,158.7754,119.2274,11.6703,0,0,0,0,0,0,0,0,0,0,0,0
1993,7,2,0,23,0,0,0,0,0,0,0,0,1,1,1,2,1,3,3,3,2,3,0,0,1,2,0,0,0,0,0,0,0,0
1994,7,2,0,26,0,0,0,0,0,0,0,2,1,3,3,2,1,3,4,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,0,17,0,0,0,1,0,0,1,1,3,1,2,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1996,7,2,0,29,1,0,0,3,0,1,2,2,4,3,2,2,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,7,2,0,41,0,0,1,0,0,2,3,4,3,6,2,5,5,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,2,0,84,0,0,0,1,1,5,8,8,17,8,6,3,5,3,6,3,4,2,0,2,1,1,0,0,0,0,0,0,0,0
1999,7,2,0,78,0,0,0,1,2,3,12,12,18,15,1,1,1,3,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0
2000,7,2,0,36,0,0,0,0,0,1,5,6,9,8,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,2,0,224,1,0,0,2,3,4,3,11,30,30,48,38,19,7,8,7,5,6,1,0,1,0,0,0,0,0,0,0,0,0
2002,7,2,0,450,0,1,0,1,10,4,5,11,20,67,88,92,83,39,6,13,5,2,1,0,1,0,0,0,0,0,0,0,0,1
2003,7,2,0,742,0,0,0,1,11,13,50,35,26,48,88,143,139,78,42,27,12,9,8,9,1,1,0,0,1,0,0,0,0,0
2004,7,2,0,410,0,1,0,0,0,0,8,18,51,28,34,55,84,62,25,21,13,5,3,2,0,0,0,0,0,0,0,0,0,0
2005,7,2,0,958,0,0,2,1,0,2,5,19,86,147,105,99,149,125,93,52,30,17,14,8,2,0,2,0,0,0,0,0,0,0
2006,7,2,0,597,0,0,0,0,1,4,4,10,41,66,81,77,82,74,65,35,31,14,8,3,1,0,0,0,0,0,0,0,0,0
2007,7,2,0,823,0,0,0,1,2,1,4,12,17,38,88,118,143,163,110,49,33,20,14,8,2,0,0,0,0,0,0,0,0,0
2008,7,2,0,734,0,0,0,0,0,2,7,10,16,29,41,110,154,119,115,57,34,19,12,5,3,1,0,0,0,0,0,0,0,0
2009,7,2,0,501,0,0,0,1,2,3,1,8,11,16,14,49,77,90,97,56,48,11,12,3,1,1,0,0,0,0,0,0,0,0
2010,7,2,0,632,0,0,0,5,6,11,14,13,12,16,12,41,71,120,134,80,54,24,5,7,5,0,2,0,0,0,0,0,0,0
2011,7,2,0,724,0,0,0,1,1,7,13,29,41,32,17,37,80,127,149,87,50,35,9,6,2,1,0,0,0,0,0,0,0,0
2012,7,2,0,918,0,0,0,0,1,2,7,21,45,62,31,40,68,152,159,148,83,62,26,6,2,2,0,1,0,0,0,0,0,0
2013,7,2,0,646,0,0,0,0,0,4,4,5,29,57,55,37,43,100,114,83,58,34,15,4,3,1,0,0,0,0,0,0,0,0
2014,7,2,0,370,0,0,0,0,0,2,1,1,1,11,24,53,30,41,52,66,41,26,12,8,1,0,0,0,0,0,0,0,0,0
2015,7,2,0,294,0,0,0,0,0,1,1,2,8,3,8,20,36,32,40,62,47,19,10,3,1,0,1,0,0,0,0,0,0,0
2016,7,2,0,270,0,0,0,0,2,3,2,2,3,19,14,13,30,47,27,47,26,20,12,2,0,0,0,1,0,0,0,0,0,0
2017,7,2,0,543,0,0,0,0,4,4,9,14,12,22,20,24,38,78,83,104,59,43,21,4,2,2,0,0,0,0,0,0,0,0
2018,7,2,0,575,1,0,0,5,3,5,6,18,26,18,20,31,29,65,92,106,77,41,23,7,1,1,0,0,0,0,0,0,0,0
2019,7,2,0,607,0,1,1,3,8,30,21,11,11,30,38,22,33,62,88,96,84,42,16,8,2,0,0,0,0,0,0,0,0,0
2020,7,2,0,63,0,0,0,1,0,3,13,8,3,1,1,4,3,1,2,7,6,4,3,2,1,0,0,0,0,0,0,0,0,0
