Year,Month,Fleet,Sex,Nsamps,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74
2019,1,1,1,394,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,22,46,44,27,13,24,67,62,39,18,7,4,2,1,1,0,0,0,0,0,0,0
2019,1,2,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,4,7,5,8,15,23,15,2,2,0,0,1,0,0,0,0,0,0,0,0
2019,1,1,2,624,0,0,0,0,0,0,0,0,0,0,0,0,2,12,15,31,58,49,21,16,50,71,65,108,83,37,6,0,0,0,0,0,0,0,0,0,0
2019,1,2,2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,9,3,1,10,19,21,33,39,12,4,0,0,0,0,0,0,0,0,0,0
